label	definition	caption
Drum machine	An electronic device that produces rhythmic sounds, often used in music production and live performances, characterized by its ability to generate various drum patterns and beats.	
Microphone	An audio input device that converts sound waves into electrical signals, commonly used in recording, broadcasting, and communication systems, distinguished by its sensitivity and directionality.	
Deformable shell	A type of shell that can change shape or form, typically found in some species of snails and mollusks, characterized by its elasticity and adaptability to different environments.	
Distortion	A type of audio effect characterized by the intentional alteration of sound waves, resulting in a distorted or distorted-sounding output. Often used in electronic music, sound effects, and audio processing.	
Electronica	A broad range of percussive electronic music produced largely for nightclubs, festivals, and raves, produced largely for playback by DJs who create seamless selections of tracks, called a mix, by segueing from one recording to another.	
Theremin	An electronic musical instrument that produces an eerie, ethereal sound by manipulating electromagnetic fields around two antennas. The pitch is controlled by moving the hands near the antennas, while the volume is controlled by a foot pedal.	
Clip-clop	The rhythmic, metallic sound produced by the striking of horse hooves on a hard surface, typically heard in urban or rural environments where horses are present.	
Trombone	The deep, resonant sound produced by a brass instrument with a telescoping slide mechanism, often used in jazz or classical music. Typically heard in music venues or practice sessions.	
Electric piano	The unique, electric sound produced by an instrument that simulates the sound of a grand piano using electronic means. Often heard in jazz or pop music. Typically heard in music venues or recording studios.	
	A small, electric rotor drone with four rotors, commonly used for aerial photography, surveillance, or delivery services.	
Electric rotor drone, quadcopter	A small, electric rotor drone with four rotors, commonly used for aerial photography, surveillance, or delivery services.	
Synthesizer	An electronic musical instrument that generates a wide range of sounds by combining and manipulating various waveforms, often used in music production or sound design.	
Spray	A short burst of fine mist or liquid particles produced by a spray can or other aerosol dispensers, often heard in construction sites, gardens, or industrial areas.	
Groan	A low, guttural sound typically produced by the movement of heavy objects or the stretching of materials, often heard in construction sites, workshops, or during physical activities.	
Flute	A musical instrument characterized by its high-pitched, whistling sound, played by blowing air across a narrow opening, often heard in orchestras, concerts, or music festivals.	
Bassline	A rhythmic, low-pitched melody or pattern that forms the foundation of a piece of music, often heard in genres like jazz, rock, and electronic music.	
Natural sounds	Sounds produced by natural environments, such as birdsong, waterfalls, or wind, often characterized by their unique patterns, pitches, and rhythms.	
White noise	A type of noise characterized by its uniformity and lack of distinguishable features, often produced by electronic devices or natural phenomena like thunderstorms.	
Reverberation	The echoing or bouncing of sound waves in a space, resulting in a prolonged and diffused sound, often heard in large rooms or open spaces.	
Rhodes piano	A type of grand piano with a unique sound due to its wooden frame and strings, characterized by a rich, resonant tone, often associated with classical music.	
